Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  516645 |  4.90e-04 |     -- |  6.13e+00 |  8.05e+00 |     -- |  2.01e+01 |  3.03e+01
  520650 |  5.09e-04 |     -- |  5.65e+00 |  7.51e+00 |     -- |  2.06e+01 |  3.10e+01
  524655 |  4.92e-04 |     -- |  5.69e+00 |  7.18e+00 |     -- |  2.06e+01 |  3.05e+01
  528660 |  5.30e-04 |     -- |  6.03e+00 |  7.97e+00 |     -- |  2.10e+01 |  3.16e+01
  532665 |  4.97e-04 |     -- |  5.52e+00 |  7.33e+00 |     -- |  2.05e+01 |  3.07e+01
  536670 |  5.64e-04 |     -- |  5.95e+00 |  8.16e+00 |     -- |  2.15e+01 |  3.26e+01
  540675 |  5.72e-04 |     -- |  6.23e+00 |  7.98e+00 |     -- |  2.17e+01 |  3.29e+01
  544680 |  5.47e-04 |     -- |  7.33e+00 |  9.21e+00 |     -- |  2.12e+01 |  3.18e+01
  548685 |  5.72e-04 |     -- |  6.70e+00 |  8.91e+00 |     -- |  2.17e+01 |  3.26e+01
  552690 |  5.67e-04 |     -- |  6.99e+00 |  9.00e+00 |     -- |  2.15e+01 |  3.24e+01
  556695 |  5.80e-04 |     -- |  7.93e+00 |  1.02e+01 |     -- |  2.17e+01 |  3.25e+01
  560700 |  5.70e-04 |     -- |  6.37e+00 |  8.55e+00 |     -- |  2.17e+01 |  3.27e+01
  564705 |  6.00e-04 |     -- |  5.24e+00 |  6.93e+00 |     -- |  2.25e+01 |  3.39e+01
  568710 |  5.78e-04 |     -- |  7.67e+00 |  9.81e+00 |     -- |  2.18e+01 |  3.26e+01
  572715 |  6.15e-04 |     -- |  6.85e+00 |  8.67e+00 |     -- |  2.26e+01 |  3.40e+01
  576720 |  6.15e-04 |     -- |  6.97e+00 |  9.13e+00 |     -- |  2.24e+01 |  3.38e+01
  580725 |  6.36e-04 |     -- |  7.23e+00 |  9.30e+00 |     -- |  2.28e+01 |  3.44e+01
  584730 |  5.97e-04 |     -- |  6.19e+00 |  8.19e+00 |     -- |  2.24e+01 |  3.36e+01
  588735 |  6.28e-04 |     -- |  6.83e+00 |  8.58e+00 |     -- |  2.28e+01 |  3.44e+01
  592740 |  6.14e-04 |     -- |  6.74e+00 |  9.09e+00 |     -- |  2.28e+01 |  3.39e+01
  596745 |  6.04e-04 |     -- |  5.62e+00 |  7.56e+00 |     -- |  2.25e+01 |  3.39e+01
  600750 |  6.53e-04 |     -- |  5.87e+00 |  7.72e+00 |     -- |  2.35e+01 |  3.53e+01
  604755 |  6.45e-04 |     -- |  5.69e+00 |  7.57e+00 |     -- |  2.34e+01 |  3.51e+01
  608760 |  5.76e-04 |     -- |  5.92e+00 |  7.91e+00 |     -- |  2.21e+01 |  3.30e+01
  612765 |  6.34e-04 |     -- |  6.60e+00 |  8.57e+00 |     -- |  2.28e+01 |  3.46e+01
  616770 |  6.06e-04 |     -- |  5.71e+00 |  7.35e+00 |     -- |  2.24e+01 |  3.40e+01
  620775 |  6.27e-04 |     -- |  7.02e+00 |  9.18e+00 |     -- |  2.24e+01 |  3.42e+01
  624780 |  5.98e-04 |     -- |  6.16e+00 |  7.91e+00 |     -- |  2.22e+01 |  3.37e+01
  628785 |  5.91e-04 |     -- |  6.78e+00 |  8.81e+00 |     -- |  2.22e+01 |  3.32e+01
  632790 |  5.57e-04 |     -- |  6.19e+00 |  8.07e+00 |     -- |  2.17e+01 |  3.24e+01
  636795 |  5.48e-04 |     -- |  6.02e+00 |  7.89e+00 |     -- |  2.12e+01 |  3.21e+01
  640800 |  9.18e-04 |     -- |  5.41e+00 |  7.08e+00 |     -- |  2.38e+01 |  4.23e+01
  644805 |  4.51e-04 |     -- |  4.37e+00 |  5.84e+00 |     -- |  1.93e+01 |  2.94e+01
  648810 |  3.90e-04 |     -- |  5.29e+00 |  7.25e+00 |     -- |  1.83e+01 |  2.70e+01
  652815 |  4.11e-04 |     -- |  4.55e+00 |  6.05e+00 |     -- |  1.85e+01 |  2.80e+01
  656820 |  4.26e-04 |     -- |  4.95e+00 |  6.39e+00 |     -- |  1.90e+01 |  2.85e+01
  660825 |  4.09e-04 |     -- |  4.90e+00 |  6.45e+00 |     -- |  1.86e+01 |  2.79e+01
  664830 |  4.65e-04 |     -- |  6.01e+00 |  7.89e+00 |     -- |  1.97e+01 |  2.95e+01
  668835 |  4.31e-04 |     -- |  5.68e+00 |  7.26e+00 |     -- |  1.90e+01 |  2.85e+01
  672840 |  4.57e-04 |     -- |  6.01e+00 |  7.93e+00 |     -- |  1.94e+01 |  2.92e+01
  676845 |  4.45e-04 |     -- |  5.29e+00 |  7.10e+00 |     -- |  1.96e+01 |  2.90e+01
  680850 |  4.71e-04 |     -- |  4.76e+00 |  6.27e+00 |     -- |  1.98e+01 |  3.00e+01
  684855 |  4.75e-04 |     -- |  5.60e+00 |  7.30e+00 |     -- |  2.01e+01 |  2.99e+01
  688860 |  4.85e-04 |     -- |  5.26e+00 |  7.23e+00 |     -- |  2.01e+01 |  3.03e+01
  692865 |  5.10e-04 |     -- |  6.06e+00 |  7.85e+00 |     -- |  2.08e+01 |  3.10e+01
  696870 |  4.90e-04 |     -- |  5.54e+00 |  7.01e+00 |     -- |  2.04e+01 |  3.05e+01
  700875 |  5.23e-04 |     -- |  6.38e+00 |  8.10e+00 |     -- |  2.09e+01 |  3.13e+01
