Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  772965 |  1.09e-03 |     -- |  7.31e+00 |  9.26e+00 |     -- |  3.27e+01 |  4.59e+01
  776970 |  1.09e-03 |     -- |  7.33e+00 |  9.29e+00 |     -- |  3.26e+01 |  4.58e+01
  780975 |  1.07e-03 |     -- |  7.40e+00 |  9.32e+00 |     -- |  3.23e+01 |  4.54e+01
  784980 |  1.12e-03 |     -- |  7.11e+00 |  9.19e+00 |     -- |  3.29e+01 |  4.64e+01
  788985 |  1.07e-03 |     -- |  8.01e+00 |  9.88e+00 |     -- |  3.24e+01 |  4.52e+01
  792990 |  1.05e-03 |     -- |  7.71e+00 |  9.73e+00 |     -- |  3.21e+01 |  4.48e+01
  796995 |  1.11e-03 |     -- |  7.51e+00 |  9.59e+00 |     -- |  3.27e+01 |  4.61e+01
  801000 |  1.06e-03 |     -- |  7.35e+00 |  9.31e+00 |     -- |  3.19e+01 |  4.50e+01
  805005 |  1.07e-03 |     -- |  7.23e+00 |  9.22e+00 |     -- |  3.22e+01 |  4.53e+01
  809010 |  1.05e-03 |     -- |  6.55e+00 |  8.43e+00 |     -- |  3.23e+01 |  4.51e+01
  813015 |  1.05e-03 |     -- |  7.31e+00 |  9.50e+00 |     -- |  3.18e+01 |  4.48e+01
  817020 |  1.10e-03 |     -- |  7.03e+00 |  9.01e+00 |     -- |  3.28e+01 |  4.61e+01
  821025 |  1.00e-03 |     -- |  6.51e+00 |  8.45e+00 |     -- |  3.14e+01 |  4.40e+01
  825030 |  1.07e-03 |     -- |  6.90e+00 |  8.88e+00 |     -- |  3.22e+01 |  4.55e+01
  829035 |  1.04e-03 |     -- |  6.97e+00 |  8.96e+00 |     -- |  3.17e+01 |  4.46e+01
  833040 |  1.01e-03 |     -- |  6.85e+00 |  8.79e+00 |     -- |  3.15e+01 |  4.41e+01
  837045 |  1.07e-03 |     -- |  6.73e+00 |  8.78e+00 |     -- |  3.21e+01 |  4.53e+01
  841050 |  1.02e-03 |     -- |  7.26e+00 |  9.25e+00 |     -- |  3.16e+01 |  4.42e+01
  845055 |  1.06e-03 |     -- |  7.27e+00 |  9.40e+00 |     -- |  3.20e+01 |  4.50e+01
  849060 |  9.74e-04 |     -- |  6.67e+00 |  8.62e+00 |     -- |  3.10e+01 |  4.33e+01
  853065 |  9.52e-04 |     -- |  7.52e+00 |  9.58e+00 |     -- |  3.05e+01 |  4.26e+01
  857070 |  9.71e-04 |     -- |  7.11e+00 |  9.06e+00 |     -- |  3.08e+01 |  4.31e+01
  861075 |  1.00e-03 |     -- |  6.18e+00 |  7.96e+00 |     -- |  3.13e+01 |  4.40e+01
  865080 |  1.06e-03 |     -- |  7.15e+00 |  9.09e+00 |     -- |  3.21e+01 |  4.52e+01
  869085 |  9.75e-04 |     -- |  6.42e+00 |  8.35e+00 |     -- |  3.10e+01 |  4.34e+01
  873090 |  1.11e-03 |     -- |  7.81e+00 |  9.99e+00 |     -- |  3.24e+01 |  4.60e+01
  877095 |  9.65e-04 |     -- |  7.46e+00 |  9.54e+00 |     -- |  3.07e+01 |  4.29e+01
  881100 |  9.57e-04 |     -- |  6.21e+00 |  8.06e+00 |     -- |  3.08e+01 |  4.30e+01
  885105 |  9.65e-04 |     -- |  7.08e+00 |  9.36e+00 |     -- |  3.07e+01 |  4.29e+01
  889110 |  9.68e-04 |     -- |  7.10e+00 |  9.01e+00 |     -- |  3.09e+01 |  4.31e+01
  893115 |  9.40e-04 |     -- |  6.65e+00 |  8.62e+00 |     -- |  3.04e+01 |  4.25e+01
  897120 |  9.35e-04 |     -- |  6.63e+00 |  8.37e+00 |     -- |  3.05e+01 |  4.24e+01
  901125 |  9.53e-04 |     -- |  6.26e+00 |  8.34e+00 |     -- |  3.08e+01 |  4.29e+01
  905130 |  9.44e-04 |     -- |  6.47e+00 |  8.32e+00 |     -- |  3.06e+01 |  4.26e+01
  909135 |  9.33e-04 |     -- |  7.18e+00 |  9.22e+00 |     -- |  3.04e+01 |  4.22e+01
  913140 |  9.34e-04 |     -- |  6.50e+00 |  8.42e+00 |     -- |  3.03e+01 |  4.24e+01
  917145 |  9.32e-04 |     -- |  6.72e+00 |  8.53e+00 |     -- |  3.04e+01 |  4.23e+01
  921150 |  9.04e-04 |     -- |  6.99e+00 |  9.19e+00 |     -- |  2.98e+01 |  4.15e+01
