structure_index,dihedral_deg,atom_index,Z,q0,q_l0_0,q_l1_0,q_l1_1,q_l1_2,q_l1_norm,q_l2_0,q_l2_1,q_l2_2,q_l2_3,q_l2_4,q_l2_norm
706,150.35967294855288,10,1,-1.7059316635131836,0.0024258941411972046,0.004911061376333237,0.0014958600513637066,-0.0007424340001307428,0.005187227390706539,0.010109292343258858,-0.0038400073535740376,0.0019058953039348125,0.013799997046589851,0.006261776201426983,0.018714316189289093
706,150.35967294855288,11,1,-1.7059316635131836,0.002425893908366561,0.004911060910671949,-0.0014958595857024193,0.0007424340001307428,0.005187226925045252,0.010109290480613708,0.0038400080520659685,-0.0019058953039348125,0.013799995183944702,0.006261775270104408,0.018714314326643944
706,150.35967294855288,12,6,0.7372824549674988,-0.5194328427314758,1.1377097368240356,0.0,0.0,1.1377097368240356,-0.6814040541648865,0.0,0.0,-1.6608341932296753,-1.0626351833343506,2.0861148834228516
707,150.45976996182176,0,6,0.7372824549674988,-0.5194329619407654,-1.1377098560333252,0.0,0.0,1.1377098560333252,-1.0935616493225098,0.0,0.0,0.0,-1.7765130996704102,2.0861148834228516
707,150.45976996182176,1,1,-1.7059316635131836,0.0024258936755359173,-0.004911061841994524,0.0016699736006557941,0.0,0.005187228322029114,0.013533946126699448,0.00428697420284152,0.0,0.0,0.012193450704216957,0.01871432736515999
707,150.45976996182176,2,1,-1.7059316635131836,0.0024258936755359173,-0.004911062307655811,-0.001669973717071116,0.0,0.005187229253351688,0.013533947989344597,-0.004286973271518946,0.0,0.0,0.012193452566862106,0.018714331090450287
707,150.45976996182176,3,6,0.6997027397155762,0.010881757363677025,-0.043873660266399384,0.0,0.0,0.043873660266399384,-0.0028326399624347687,0.0,0.0,0.0,0.045946814119815826,0.04603404551744461
707,150.45976996182176,4,6,0.7093710899353027,0.0032410426065325737,-0.0016317961271852255,0.0,0.0,0.0016317961271852255,-0.032573964446783066,0.0,0.0,0.0,0.01880664750933647,0.03761320561170578
707,150.45976996182176,5,6,0.7115345597267151,0.004523945972323418,0.00015518179861828685,0.0,0.0,0.00015518179861828685,-0.03325732797384262,0.0,0.0,0.0,0.019201122224330902,0.0384022518992424
707,150.45976996182176,6,6,0.7111343741416931,0.004366659093648195,2.661797171565894e-11,0.0,0.0,2.661797171565894e-11,-0.03302139788866043,0.0,0.0,0.0,0.019064920023083687,0.03812982887029648
707,150.45976996182176,7,6,0.7115345597267151,0.0045239487662911415,-0.00015518077998422086,0.0,0.0,0.00015518077998422086,-0.033257316797971725,0.0,0.0,0.0,0.019201137125492096,0.0384022481739521
707,150.45976996182176,8,6,0.7093710899353027,0.0032410454005002975,0.001631795079447329,0.0,0.0,0.001631795079447329,-0.03257394954562187,0.0,0.0,0.0,0.018806645646691322,0.037613190710544586
707,150.45976996182176,9,6,0.6997027397155762,0.010881762951612473,0.04387366771697998,0.0,0.0,0.04387366771697998,-0.010369416326284409,0.0,0.0,0.03049061819911003,0.03289271891117096,0.04603404551744461
707,150.45976996182176,10,1,-1.7059316635131836,0.0024258922785520554,0.004911062307655811,0.0014970272313803434,-0.0007400827016681433,0.005187229253351688,0.010130977258086205,-0.0038430048152804375,0.0018998596351593733,0.013766992837190628,0.006299320142716169,0.018714336678385735
707,150.45976996182176,11,1,-1.7059316635131836,0.0024258922785520554,0.004911062307655811,-0.0014970272313803434,0.0007400829927064478,0.005187229253351688,0.010130977258086205,0.00384300434961915,-0.0018998588202521205,0.013766992837190628,0.006299319677054882,0.018714336678385735
707,150.45976996182176,12,6,0.7372825145721436,-0.5194334983825684,1.137711524963379,0.0,0.0,1.137711524963379,-0.6840132474899292,0.0,0.0,-1.656862497329712,-1.0671544075012207,2.0861175060272217
708,150.55988005863358,0,6,0.7372824549674988,-0.5194329023361206,-1.1377098560333252,0.0,0.0,1.1377098560333252,-1.0935615301132202,0.0,0.0,0.0,-1.7765130996704102,2.0861148834228516
708,150.55988005863358,1,1,-1.7059316635131836,0.0024258934427052736,-0.004911061376333237,0.0016699733678251505,0.0,0.005187228322029114,0.013533946126699448,0.004286973737180233,0.0,0.0,0.012193450704216957,0.01871432736515999
708,150.55988005863358,2,1,-1.7059317827224731,0.0024258936755359173,-0.004911061841994524,-0.0016699726693332195,0.0,0.005187228322029114,0.013533946126699448,-0.00428697420284152,0.0,0.0,0.012193450704216957,0.01871432736515999
708,150.55988005863358,3,6,0.6997027397155762,0.010881757363677025,-0.04387366399168968,0.0,0.0,0.04387366399168968,-0.0028326380997896194,0.0,0.0,0.0,0.04594680666923523,0.046034038066864014
708,150.55988005863358,4,6,0.7093710899353027,0.0032410440035164356,-0.00163179577793926,0.0,0.0,0.00163179577793926,-0.03257395327091217,0.0,0.0,0.0,0.018806643784046173,0.037613194435834885
708,150.55988005863358,5,6,0.7115345597267151,0.00452394550666213,0.00015518076543230563,0.0,0.0,0.00015518076543230563,-0.033257316797971725,0.0,0.0,0.0,0.019201118499040604,0.038402240723371506
708,150.55988005863358,6,6,0.7111343741416931,0.004366659093648195,0.0,0.0,0.0,0.0,-0.03302139788866043,0.0,0.0,0.0,0.019064920023083687,0.03812982887029648
708,150.55988005863358,7,6,0.7115345597267151,0.0045239487662911415,-0.00015518160944338888,0.0,0.0,0.00015518160944338888,-0.033257316797971725,0.0,0.0,0.0,0.019201137125492096,0.0384022481739521
708,150.55988005863358,8,6,0.7093710899353027,0.0032410435378551483,0.0016317947302013636,0.0,0.0,0.0016317947302013636,-0.03257394954562187,0.0,0.0,0.0,0.01880664750933647,0.037613190710544586
708,150.55988005863358,9,6,0.6997027397155762,0.010881755501031876,0.04387364536523819,0.0,0.0,0.04387364536523819,-0.010321533307433128,0.0,0.0,0.030417196452617645,0.03297565504908562,0.04603404924273491
708,150.55988005863358,10,1,-1.7059316635131836,0.0024258929770439863,0.00491106603294611,0.0014981899876147509,-0.000737728551030159,0.005187232978641987,0.010152600705623627,-0.003845990402624011,0.0018938144203275442,0.013733847066760063,0.006336770951747894,0.01871434412896633
708,150.55988005863358,11,1,-1.7059316635131836,0.0024258927442133427,0.004911065101623535,-0.0014981897547841072,0.0007377284346148372,0.005187232047319412,0.010152602568268776,0.0038459901697933674,-0.001893814536742866,0.013733847066760063,0.00633677002042532,0.01871434412896633
708,150.55988005863358,12,6,0.7372825145721436,-0.5194332599639893,1.1377112865447998,0.0,0.0,1.1377112865447998,-0.6866151690483093,0.0,0.0,-1.6528725624084473,-1.0716607570648193,2.0861172676086426
709,150.6599995049386,0,6,0.7372824549674988,-0.5194329619407654,-1.1377098560333252,0.0,0.0,1.1377098560333252,-1.0935616493225098,0.0,0.0,0.0,-1.7765130996704102,2.0861148834228516
