Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  420525 |  7.89e-04 |     -- |  6.51e+00 |  8.52e+00 |     -- |  2.58e+01 |  3.88e+01
  424530 |  7.45e-04 |     -- |  7.28e+00 |  9.45e+00 |     -- |  2.48e+01 |  3.74e+01
  428535 |  7.82e-04 |     -- |  7.15e+00 |  9.58e+00 |     -- |  2.53e+01 |  3.84e+01
  432540 |  7.94e-04 |     -- |  5.89e+00 |  7.76e+00 |     -- |  2.58e+01 |  3.91e+01
  436545 |  7.46e-04 |     -- |  7.48e+00 |  9.27e+00 |     -- |  2.51e+01 |  3.75e+01
  440550 |  8.51e-04 |     -- |  6.06e+00 |  8.23e+00 |     -- |  2.60e+01 |  4.04e+01
  444555 |  7.43e-04 |     -- |  6.51e+00 |  8.44e+00 |     -- |  2.52e+01 |  3.76e+01
  448560 |  7.57e-04 |     -- |  6.66e+00 |  8.66e+00 |     -- |  2.49e+01 |  3.79e+01
  452565 |  7.22e-04 |     -- |  6.40e+00 |  8.28e+00 |     -- |  2.49e+01 |  3.71e+01
  456570 |  7.08e-04 |     -- |  6.67e+00 |  8.36e+00 |     -- |  2.46e+01 |  3.67e+01
  460575 |  8.28e-04 |     -- |  6.31e+00 |  8.26e+00 |     -- |  2.57e+01 |  3.98e+01
  464580 |  6.88e-04 |     -- |  6.93e+00 |  9.03e+00 |     -- |  2.41e+01 |  3.60e+01
  468585 |  7.64e-04 |     -- |  6.24e+00 |  8.21e+00 |     -- |  2.52e+01 |  3.82e+01
  472590 |  6.93e-04 |     -- |  5.48e+00 |  7.08e+00 |     -- |  2.45e+01 |  3.66e+01
  476595 |  6.94e-04 |     -- |  7.19e+00 |  9.39e+00 |     -- |  2.41e+01 |  3.60e+01
  480600 |  7.73e-04 |     -- |  5.55e+00 |  7.19e+00 |     -- |  2.51e+01 |  3.87e+01
  484605 |  7.29e-04 |     -- |  6.51e+00 |  8.57e+00 |     -- |  2.47e+01 |  3.72e+01
  488610 |  6.51e-04 |     -- |  6.11e+00 |  7.88e+00 |     -- |  2.37e+01 |  3.52e+01
  492615 |  6.44e-04 |     -- |  6.14e+00 |  7.91e+00 |     -- |  2.35e+01 |  3.50e+01
