Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
90721734 |  2.65e-05 |     -- |  9.17e-01 |  2.44e+00 |     -- |  3.24e+00 |  6.86e+00
91531755 |  2.67e-05 |     -- |  9.03e-01 |  2.44e+00 |     -- |  3.23e+00 |  6.90e+00
92341777 |  2.66e-05 |     -- |  8.92e-01 |  2.44e+00 |     -- |  3.23e+00 |  6.88e+00
93151807 |  2.68e-05 |     -- |  8.76e-01 |  2.42e+00 |     -- |  3.21e+00 |  6.87e+00
93961836 |  2.68e-05 |     -- |  8.77e-01 |  2.44e+00 |     -- |  3.18e+00 |  6.90e+00
94771844 |  2.76e-05 |     -- |  8.77e-01 |  2.46e+00 |     -- |  3.20e+00 |  7.03e+00
95581850 |  2.56e-05 |     -- |  8.59e-01 |  2.40e+00 |     -- |  3.13e+00 |  6.75e+00
96391866 |  2.50e-05 |     -- |  8.64e-01 |  2.39e+00 |     -- |  3.14e+00 |  6.73e+00
97201893 |  2.58e-05 |     -- |  8.62e-01 |  2.39e+00 |     -- |  3.16e+00 |  6.80e+00
98011919 |  2.53e-05 |     -- |  8.55e-01 |  2.39e+00 |     -- |  3.08e+00 |  6.68e+00
98821921 |  2.53e-05 |     -- |  8.41e-01 |  2.37e+00 |     -- |  3.09e+00 |  6.71e+00
99631926 |  2.54e-05 |     -- |  8.41e-01 |  2.37e+00 |     -- |  3.08e+00 |  6.72e+00
100441927 |  2.69e-05 |     -- |  8.51e-01 |  2.41e+00 |     -- |  3.14e+00 |  6.89e+00
101251948 |  2.49e-05 |     -- |  8.25e-01 |  2.37e+00 |     -- |  3.07e+00 |  6.67e+00
102061948 |  2.53e-05 |     -- |  8.25e-01 |  2.36e+00 |     -- |  3.02e+00 |  6.62e+00
102871977 |  2.55e-05 |     -- |  8.19e-01 |  2.35e+00 |     -- |  3.03e+00 |  6.65e+00
103682007 |  2.45e-05 |     -- |  8.03e-01 |  2.35e+00 |     -- |  3.00e+00 |  6.58e+00
104492018 |  2.53e-05 |     -- |  8.09e-01 |  2.36e+00 |     -- |  3.02e+00 |  6.67e+00
105302042 |  2.40e-05 |     -- |  7.90e-01 |  2.33e+00 |     -- |  2.97e+00 |  6.54e+00
106112049 |  2.45e-05 |     -- |  8.03e-01 |  2.37e+00 |     -- |  2.98e+00 |  6.62e+00
106922077 |  2.47e-05 |     -- |  7.98e-01 |  2.36e+00 |     -- |  2.96e+00 |  6.62e+00
107732079 |  2.43e-05 |     -- |  7.71e-01 |  2.34e+00 |     -- |  2.92e+00 |  6.54e+00
108542101 |  2.37e-05 |     -- |  7.65e-01 |  2.31e+00 |     -- |  2.92e+00 |  6.47e+00
109352130 |  2.29e-05 |     -- |  7.66e-01 |  2.30e+00 |     -- |  2.90e+00 |  6.42e+00
110162152 |  2.42e-05 |     -- |  7.71e-01 |  2.33e+00 |     -- |  2.91e+00 |  6.56e+00
110972168 |  2.37e-05 |     -- |  7.71e-01 |  2.33e+00 |     -- |  2.89e+00 |  6.47e+00
111782177 |  2.38e-05 |     -- |  7.55e-01 |  2.32e+00 |     -- |  2.88e+00 |  6.52e+00
112592180 |  2.31e-05 |     -- |  7.44e-01 |  2.30e+00 |     -- |  2.86e+00 |  6.44e+00
113402182 |  2.35e-05 |     -- |  7.47e-01 |  2.31e+00 |     -- |  2.85e+00 |  6.42e+00
114212200 |  2.34e-05 |     -- |  7.55e-01 |  2.31e+00 |     -- |  2.86e+00 |  6.44e+00
115022227 |  2.31e-05 |     -- |  7.42e-01 |  2.31e+00 |     -- |  2.82e+00 |  6.38e+00
115832228 |  2.32e-05 |     -- |  7.26e-01 |  2.28e+00 |     -- |  2.82e+00 |  6.39e+00
116642250 |  2.28e-05 |     -- |  7.34e-01 |  2.28e+00 |     -- |  2.82e+00 |  6.37e+00
117452256 |  2.26e-05 |     -- |  7.17e-01 |  2.26e+00 |     -- |  2.80e+00 |  6.34e+00
118262273 |  2.25e-05 |     -- |  7.18e-01 |  2.28e+00 |     -- |  2.80e+00 |  6.36e+00
119072274 |  2.20e-05 |     -- |  7.17e-01 |  2.28e+00 |     -- |  2.77e+00 |  6.32e+00
119882292 |  2.20e-05 |     -- |  6.99e-01 |  2.25e+00 |     -- |  2.74e+00 |  6.26e+00
120692306 |  2.18e-05 |     -- |  7.01e-01 |  2.26e+00 |     -- |  2.73e+00 |  6.25e+00
121502321 |  2.20e-05 |     -- |  6.91e-01 |  2.25e+00 |     -- |  2.71e+00 |  6.25e+00
122312333 |  2.22e-05 |     -- |  6.84e-01 |  2.25e+00 |     -- |  2.69e+00 |  6.21e+00
123122339 |  2.20e-05 |     -- |  6.87e-01 |  2.24e+00 |     -- |  2.71e+00 |  6.24e+00
123932342 |  2.17e-05 |     -- |  6.78e-01 |  2.26e+00 |     -- |  2.68e+00 |  6.20e+00
124742359 |  2.17e-05 |     -- |  6.81e-01 |  2.25e+00 |     -- |  2.68e+00 |  6.21e+00
125552374 |  2.19e-05 |     -- |  6.65e-01 |  2.25e+00 |     -- |  2.67e+00 |  6.27e+00
126362392 |  2.10e-05 |     -- |  6.62e-01 |  2.23e+00 |     -- |  2.64e+00 |  6.11e+00
127172402 |  2.14e-05 |     -- |  6.51e-01 |  2.22e+00 |     -- |  2.64e+00 |  6.15e+00
127982402 |  2.15e-05 |     -- |  6.70e-01 |  2.24e+00 |     -- |  2.63e+00 |  6.14e+00
128792427 |  2.11e-05 |     -- |  6.71e-01 |  2.24e+00 |     -- |  2.64e+00 |  6.14e+00
129602430 |  2.05e-05 |     -- |  6.35e-01 |  2.22e+00 |     -- |  2.57e+00 |  6.07e+00
130412431 |  2.12e-05 |     -- |  6.48e-01 |  2.23e+00 |     -- |  2.60e+00 |  6.10e+00
131222439 |  2.06e-05 |     -- |  6.36e-01 |  2.21e+00 |     -- |  2.58e+00 |  6.05e+00
132032464 |  2.10e-05 |     -- |  6.32e-01 |  2.21e+00 |     -- |  2.58e+00 |  6.09e+00
132842467 |  2.12e-05 |     -- |  6.35e-01 |  2.22e+00 |     -- |  2.57e+00 |  6.10e+00
133652492 |  2.01e-05 |     -- |  6.22e-01 |  2.20e+00 |     -- |  2.56e+00 |  6.06e+00
134462495 |  2.02e-05 |     -- |  6.21e-01 |  2.19e+00 |     -- |  2.52e+00 |  5.99e+00
135272520 |  2.14e-05 |     -- |  6.24e-01 |  2.21e+00 |     -- |  2.54e+00 |  6.10e+00
136082534 |  2.05e-05 |     -- |  5.93e-01 |  2.19e+00 |     -- |  2.49e+00 |  6.02e+00
136892558 |  2.00e-05 |     -- |  6.08e-01 |  2.19e+00 |     -- |  2.49e+00 |  5.97e+00
137702580 |  2.00e-05 |     -- |  5.98e-01 |  2.19e+00 |     -- |  2.49e+00 |  6.01e+00
138512587 |  1.99e-05 |     -- |  5.84e-01 |  2.18e+00 |     -- |  2.46e+00 |  5.96e+00
139322589 |  2.00e-05 |     -- |  5.79e-01 |  2.17e+00 |     -- |  2.45e+00 |  5.94e+00
140132589 |  2.01e-05 |     -- |  5.83e-01 |  2.17e+00 |     -- |  2.46e+00 |  5.94e+00
140942594 |  1.97e-05 |     -- |  5.73e-01 |  2.17e+00 |     -- |  2.44e+00 |  5.94e+00
141752620 |  1.99e-05 |     -- |  5.73e-01 |  2.17e+00 |     -- |  2.43e+00 |  5.92e+00
142562623 |  1.97e-05 |     -- |  5.72e-01 |  2.17e+00 |     -- |  2.42e+00 |  5.90e+00
143372650 |  1.95e-05 |     -- |  5.62e-01 |  2.16e+00 |     -- |  2.40e+00 |  5.87e+00
144182655 |  1.98e-05 |     -- |  5.65e-01 |  2.17e+00 |     -- |  2.40e+00 |  5.90e+00
144992672 |  1.99e-05 |     -- |  5.63e-01 |  2.16e+00 |     -- |  2.40e+00 |  5.87e+00
145802700 |  1.88e-05 |     -- |  5.41e-01 |  2.15e+00 |     -- |  2.34e+00 |  5.81e+00
