Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  660825 |  5.18e-04 |     -- |  5.22e+00 |  6.83e+00 |     -- |  2.11e+01 |  3.15e+01
  664830 |  5.26e-04 |     -- |  5.68e+00 |  7.43e+00 |     -- |  2.07e+01 |  3.16e+01
  668835 |  4.89e-04 |     -- |  5.61e+00 |  7.46e+00 |     -- |  2.04e+01 |  3.04e+01
  672840 |  5.38e-04 |     -- |  7.20e+00 |  9.36e+00 |     -- |  2.08e+01 |  3.14e+01
  676845 |  5.13e-04 |     -- |  6.52e+00 |  8.46e+00 |     -- |  2.04e+01 |  3.09e+01
  680850 |  8.41e-04 |     -- |  4.68e+00 |  6.31e+00 |     -- |  2.22e+01 |  4.05e+01
  684855 |  4.72e-04 |     -- |  4.34e+00 |  5.90e+00 |     -- |  1.99e+01 |  3.02e+01
  688860 |  4.35e-04 |     -- |  5.88e+00 |  7.80e+00 |     -- |  1.91e+01 |  2.84e+01
  692865 |  4.76e-04 |     -- |  6.33e+00 |  8.25e+00 |     -- |  1.95e+01 |  2.97e+01
  696870 |  4.52e-04 |     -- |  4.73e+00 |  6.32e+00 |     -- |  1.95e+01 |  2.94e+01
  700875 |  4.45e-04 |     -- |  4.78e+00 |  6.28e+00 |     -- |  1.94e+01 |  2.92e+01
  704880 |  4.78e-04 |     -- |  5.62e+00 |  7.48e+00 |     -- |  1.96e+01 |  3.00e+01
  708885 |  4.63e-04 |     -- |  5.43e+00 |  7.15e+00 |     -- |  1.99e+01 |  2.96e+01
  712890 |  4.73e-04 |     -- |  6.39e+00 |  8.46e+00 |     -- |  1.96e+01 |  2.96e+01
  716895 |  4.63e-04 |     -- |  5.56e+00 |  7.31e+00 |     -- |  2.00e+01 |  2.95e+01
  720900 |  5.07e-04 |     -- |  5.58e+00 |  7.23e+00 |     -- |  2.05e+01 |  3.10e+01
  724905 |  5.03e-04 |     -- |  6.78e+00 |  9.01e+00 |     -- |  2.01e+01 |  3.04e+01
  728910 |  5.01e-04 |     -- |  6.52e+00 |  8.31e+00 |     -- |  2.05e+01 |  3.05e+01
  732915 |  5.06e-04 |     -- |  6.96e+00 |  8.83e+00 |     -- |  2.01e+01 |  3.06e+01
