Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  464580 |  7.66e-04 |     -- |  5.76e+00 |  7.46e+00 |     -- |  2.57e+01 |  3.84e+01
  468585 |  7.50e-04 |     -- |  4.82e+00 |  6.64e+00 |     -- |  2.52e+01 |  3.81e+01
  472590 |  7.38e-04 |     -- |  6.39e+00 |  8.25e+00 |     -- |  2.50e+01 |  3.75e+01
  476595 |  7.41e-04 |     -- |  5.69e+00 |  7.78e+00 |     -- |  2.48e+01 |  3.77e+01
  480600 |  8.03e-04 |     -- |  5.74e+00 |  7.52e+00 |     -- |  2.56e+01 |  3.94e+01
  484605 |  7.50e-04 |     -- |  5.59e+00 |  7.33e+00 |     -- |  2.53e+01 |  3.80e+01
  488610 |  7.83e-04 |     -- |  5.25e+00 |  6.81e+00 |     -- |  2.57e+01 |  3.90e+01
  492615 |  7.44e-04 |     -- |  6.51e+00 |  8.31e+00 |     -- |  2.48e+01 |  3.77e+01
  496620 |  7.47e-04 |     -- |  6.07e+00 |  7.70e+00 |     -- |  2.52e+01 |  3.79e+01
  500625 |  7.13e-04 |     -- |  5.46e+00 |  7.27e+00 |     -- |  2.43e+01 |  3.71e+01
  504630 |  7.51e-04 |     -- |  6.00e+00 |  7.93e+00 |     -- |  2.53e+01 |  3.79e+01
  508635 |  7.82e-04 |     -- |  6.30e+00 |  8.31e+00 |     -- |  2.50e+01 |  3.87e+01
  512640 |  6.78e-04 |     -- |  5.93e+00 |  7.76e+00 |     -- |  2.42e+01 |  3.60e+01
  516645 |  7.66e-04 |     -- |  5.27e+00 |  6.93e+00 |     -- |  2.52e+01 |  3.85e+01
  520650 |  7.52e-04 |     -- |  5.74e+00 |  7.42e+00 |     -- |  2.54e+01 |  3.81e+01
  524655 |  7.33e-04 |     -- |  5.21e+00 |  6.78e+00 |     -- |  2.50e+01 |  3.77e+01
  528660 |  7.65e-04 |     -- |  5.80e+00 |  7.74e+00 |     -- |  2.52e+01 |  3.83e+01
  532665 |  7.56e-04 |     -- |  6.68e+00 |  8.60e+00 |     -- |  2.51e+01 |  3.79e+01
  536670 |  7.24e-04 |     -- |  5.57e+00 |  7.21e+00 |     -- |  2.49e+01 |  3.74e+01
  540675 |  7.61e-04 |     -- |  6.29e+00 |  8.30e+00 |     -- |  2.53e+01 |  3.81e+01
  544680 |  6.84e-04 |     -- |  6.13e+00 |  7.86e+00 |     -- |  2.44e+01 |  3.61e+01
  548685 |  7.22e-04 |     -- |  5.26e+00 |  6.88e+00 |     -- |  2.48e+01 |  3.74e+01
  552690 |  7.77e-04 |     -- |  5.24e+00 |  7.01e+00 |     -- |  2.53e+01 |  3.88e+01
  556695 |  6.80e-04 |     -- |  5.39e+00 |  7.11e+00 |     -- |  2.40e+01 |  3.62e+01
  560700 |  6.72e-04 |     -- |  5.22e+00 |  6.99e+00 |     -- |  2.40e+01 |  3.60e+01
  564705 |  6.58e-04 |     -- |  6.87e+00 |  8.69e+00 |     -- |  2.36e+01 |  3.52e+01
  568710 |  6.28e-04 |     -- |  5.28e+00 |  6.84e+00 |     -- |  2.34e+01 |  3.48e+01
  572715 |  6.77e-04 |     -- |  5.75e+00 |  7.52e+00 |     -- |  2.38e+01 |  3.60e+01
  576720 |  6.79e-04 |     -- |  5.36e+00 |  7.16e+00 |     -- |  2.43e+01 |  3.61e+01
  580725 |  7.07e-04 |     -- |  5.64e+00 |  7.51e+00 |     -- |  2.45e+01 |  3.68e+01
  584730 |  6.58e-04 |     -- |  5.29e+00 |  6.88e+00 |     -- |  2.37e+01 |  3.56e+01
  588735 |  6.50e-04 |     -- |  5.89e+00 |  7.73e+00 |     -- |  2.35e+01 |  3.52e+01
  592740 |  6.65e-04 |     -- |  4.56e+00 |  6.01e+00 |     -- |  2.39e+01 |  3.60e+01
  596745 |  6.65e-04 |     -- |  5.27e+00 |  7.03e+00 |     -- |  2.39e+01 |  3.58e+01
  600750 |  6.64e-04 |     -- |  5.68e+00 |  7.42e+00 |     -- |  2.37e+01 |  3.57e+01
  604755 |  6.60e-04 |     -- |  6.39e+00 |  8.11e+00 |     -- |  2.37e+01 |  3.54e+01
  608760 |  6.71e-04 |     -- |  5.38e+00 |  7.25e+00 |     -- |  2.38e+01 |  3.59e+01
  612765 |  6.51e-04 |     -- |  5.28e+00 |  7.04e+00 |     -- |  2.34e+01 |  3.54e+01
  616770 |  6.71e-04 |     -- |  4.74e+00 |  6.37e+00 |     -- |  2.41e+01 |  3.61e+01
  620775 |  6.61e-04 |     -- |  5.26e+00 |  6.83e+00 |     -- |  2.37e+01 |  3.57e+01
