Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  720008 |  5.32e-04 |     -- |  5.87e+00 |  7.62e+00 |     -- |  2.14e+01 |  3.17e+01
  724008 |  4.57e-04 |     -- |  6.79e+00 |  8.88e+00 |     -- |  1.98e+01 |  2.89e+01
  728008 |  5.01e-04 |     -- |  6.55e+00 |  8.45e+00 |     -- |  2.06e+01 |  3.05e+01
  732008 |  5.23e-04 |     -- |  5.73e+00 |  7.29e+00 |     -- |  2.09e+01 |  3.15e+01
  736008 |  5.26e-04 |     -- |  6.14e+00 |  7.94e+00 |     -- |  2.10e+01 |  3.14e+01
  740008 |  5.29e-04 |     -- |  5.38e+00 |  7.24e+00 |     -- |  2.11e+01 |  3.17e+01
  744008 |  4.98e-04 |     -- |  6.20e+00 |  7.94e+00 |     -- |  2.07e+01 |  3.05e+01
  748008 |  5.46e-04 |     -- |  6.51e+00 |  8.55e+00 |     -- |  2.10e+01 |  3.19e+01
  752008 |  5.38e-04 |     -- |  5.64e+00 |  7.47e+00 |     -- |  2.13e+01 |  3.19e+01
  756008 |  4.87e-04 |     -- |  5.04e+00 |  6.66e+00 |     -- |  2.06e+01 |  3.05e+01
  760008 |  5.02e-04 |     -- |  5.91e+00 |  7.53e+00 |     -- |  2.08e+01 |  3.08e+01
  764008 |  4.91e-04 |     -- |  6.07e+00 |  7.88e+00 |     -- |  2.06e+01 |  3.03e+01
  768008 |  5.05e-04 |     -- |  5.71e+00 |  7.49e+00 |     -- |  2.08e+01 |  3.09e+01
  772008 |  1.07e-03 |     -- |  5.48e+00 |  7.25e+00 |     -- |  2.23e+01 |  4.57e+01
  776008 |  4.55e-04 |     -- |  4.60e+00 |  6.06e+00 |     -- |  1.98e+01 |  2.95e+01
  780008 |  4.24e-04 |     -- |  4.95e+00 |  6.46e+00 |     -- |  1.94e+01 |  2.84e+01
  784009 |  4.18e-04 |     -- |  5.16e+00 |  6.98e+00 |     -- |  1.89e+01 |  2.80e+01
  788010 |  4.42e-04 |     -- |  4.51e+00 |  6.05e+00 |     -- |  1.93e+01 |  2.91e+01
  792010 |  4.39e-04 |     -- |  4.71e+00 |  6.31e+00 |     -- |  1.94e+01 |  2.89e+01
  796010 |  4.59e-04 |     -- |  5.66e+00 |  7.27e+00 |     -- |  1.98e+01 |  2.94e+01
  800011 |  4.43e-04 |     -- |  4.88e+00 |  6.53e+00 |     -- |  1.96e+01 |  2.91e+01
  804011 |  4.53e-04 |     -- |  5.55e+00 |  7.22e+00 |     -- |  1.97e+01 |  2.92e+01
  808011 |  4.75e-04 |     -- |  5.60e+00 |  7.41e+00 |     -- |  2.00e+01 |  2.99e+01
  812011 |  5.59e-04 |     -- |  5.52e+00 |  7.25e+00 |     -- |  2.17e+01 |  3.26e+01
  816011 |  4.87e-04 |     -- |  5.56e+00 |  7.31e+00 |     -- |  2.03e+01 |  3.03e+01
  820011 |  5.21e-04 |     -- |  6.30e+00 |  8.28e+00 |     -- |  2.06e+01 |  3.12e+01
  824011 |  5.33e-04 |     -- |  6.86e+00 |  9.19e+00 |     -- |  2.10e+01 |  3.13e+01
  828011 |  5.32e-04 |     -- |  4.99e+00 |  6.57e+00 |     -- |  2.12e+01 |  3.19e+01
  832011 |  4.74e-04 |     -- |  6.53e+00 |  8.25e+00 |     -- |  2.01e+01 |  2.97e+01
  836011 |  4.80e-04 |     -- |  5.97e+00 |  7.67e+00 |     -- |  2.01e+01 |  3.00e+01
  840011 |  5.41e-04 |     -- |  5.31e+00 |  7.04e+00 |     -- |  2.12e+01 |  3.21e+01
  844011 |  1.47e-03 |     -- |  6.36e+00 |  8.35e+00 |     -- |  2.26e+01 |  5.36e+01
  848011 |  3.34e-04 |     -- |  3.47e+00 |  4.94e+00 |     -- |  1.70e+01 |  2.54e+01
  852011 |  3.97e-04 |     -- |  3.50e+00 |  4.98e+00 |     -- |  1.84e+01 |  2.77e+01
  856011 |  3.22e-04 |     -- |  4.10e+00 |  5.55e+00 |     -- |  1.66e+01 |  2.48e+01
  860011 |  3.38e-04 |     -- |  3.69e+00 |  5.15e+00 |     -- |  1.71e+01 |  2.55e+01
  864011 |  3.33e-04 |     -- |  4.23e+00 |  5.77e+00 |     -- |  1.69e+01 |  2.52e+01
  868011 |  3.61e-04 |     -- |  4.38e+00 |  5.86e+00 |     -- |  1.75e+01 |  2.62e+01
  872011 |  3.32e-04 |     -- |  4.21e+00 |  5.71e+00 |     -- |  1.69e+01 |  2.51e+01
  876011 |  3.38e-04 |     -- |  4.47e+00 |  6.06e+00 |     -- |  1.73e+01 |  2.53e+01
  880011 |  3.66e-04 |     -- |  5.20e+00 |  6.94e+00 |     -- |  1.75e+01 |  2.62e+01
  884011 |  3.74e-04 |     -- |  4.54e+00 |  6.16e+00 |     -- |  1.77e+01 |  2.67e+01
  888011 |  3.99e-04 |     -- |  4.81e+00 |  6.44e+00 |     -- |  1.86e+01 |  2.75e+01
  892011 |  4.03e-04 |     -- |  4.85e+00 |  6.45e+00 |     -- |  1.87e+01 |  2.76e+01
  896011 |  4.30e-04 |     -- |  5.79e+00 |  7.33e+00 |     -- |  1.92e+01 |  2.84e+01
  900011 |  4.02e-04 |     -- |  5.29e+00 |  6.89e+00 |     -- |  1.87e+01 |  2.75e+01
  904011 |  4.44e-04 |     -- |  4.68e+00 |  6.12e+00 |     -- |  1.96e+01 |  2.92e+01
  908011 |  4.33e-04 |     -- |  5.48e+00 |  7.06e+00 |     -- |  1.91e+01 |  2.86e+01
  912011 |  4.50e-04 |     -- |  4.76e+00 |  6.66e+00 |     -- |  1.95e+01 |  2.92e+01
  916011 |  4.53e-04 |     -- |  5.19e+00 |  6.83e+00 |     -- |  1.98e+01 |  2.93e+01
  920011 |  4.62e-04 |     -- |  5.13e+00 |  6.75e+00 |     -- |  1.99e+01 |  2.96e+01
  924011 |  4.74e-04 |     -- |  5.68e+00 |  7.88e+00 |     -- |  1.96e+01 |  2.98e+01
  928011 |  4.61e-04 |     -- |  5.84e+00 |  7.47e+00 |     -- |  1.97e+01 |  2.94e+01
